unit_name,registration_no,udyam_no,nature_of_industry,enterprise_type,product_activity,district,taluk,address,contact_person,phone,registration_date,commencement_date,gstin,pan,iec_code,has_iec,paid_up_capital,authorized_capital,employee_count,annual_turnover,export_turnover,import_turnover,bank_name,ad_code,years_in_business,mca_status,is_shell,related_party_txn_pct,turnover_capital_ratio,primary_port,hs_code_primary
Iyer Inc,TN/MSME/IR/378614,UDYAM-TN-18-20-0003718,Handloom,Medium,General Products,Tiruppur,Tiruppur North,"83, Bhagat Circle, Machilipatnam 951905",Balendra Bains,02503873630,2013-07-07,2013-09-17,33GXTCE2672U4Z6,GXTCE2672U,,False,77806289,116735483,64,56856647.0,0,2231390,Union Bank of India,131512,12,struck_off,False,0.024237296441082922,0.7307461611490043,INITP6,5201
Lanka-Nori,TN/MSME/tt/649764,UDYAM-TN-27-21-0970734,Food Processing,Micro,Rice Mill,Krishnagiri,Krishnagiri Taluk,"H.No. 18, Khalsa Path, Pimpri-Chinchwad 158067",Theodore Kata,04519274168,2022-01-08,2022-01-28,33VPDPE0399B4ZN,VPDPE0399B,,False,725178,1736671,2,1003788.0,0,260364,ICICI Bank,751286,4,struck_off,False,0.12161575799105953,1.3841953285951862,INMAA4,8542
Mangat Vig and Thakkar,TN/MSME/kK/162601,UDYAM-TN-18-22-0672643,Service,Small,General Products,Virudhunagar,Virudhunagar Taluk,"H.No. 163, Kari Marg, Kulti 383737",Gaurangi Bali,8924076166,2016-07-16,2016-09-09,33GUCCB8284J2ZO,GUCCB8284J,93467705490,True,30129602,60840017,23,45078854.0,8275617,11409383,Indian Bank,404100,9,active,False,0.004140080267945384,1.496164934405705,INMAA4,8542
Kapur-Sen,TN/MSME/zq/758063,UDYAM-TN-13-22-0452249,Leather,Micro,Leather Garments,Thoothukudi,Thoothukudi Taluk,"59/36, Mutti Marg, Unnao 131241",Tejas Badami,3597907955,2021-09-05,2022-02-23,33SIPFQ1810N1Z7,SIPFQ1810N,,False,1922692,2124499,9,4262882.0,0,849470,City Union Bank,561801,4,active,False,0.04708734675875395,2.217142423227433,INTUT1,7204
Apte and Sons,TN/MSME/hy/690452,UDYAM-TN-38-22-0487576,Food Processing,Small,Spices,Tiruchirappalli,Tiruchirappalli Taluk,"68, Gaba Road, Erode-597651",Rachit Virk,+911423619418,2025-07-24,2025-12-29,33SOEAV9696J6Z9,SOEAV9696J,,False,24389764,40552349,30,29689276.0,0,6017665,Union Bank of India,057991,0,active,False,0.1190603098659003,1.217284267285243,INMAA4,2601
Chopra PLC,TN/MSME/VE/181501,UDYAM-TN-01-20-0816233,Agro-based Industry,Micro,General Products,Tirunelveli,Tirunelveli Taluk,"564, Naidu, Eluru-327641",Nathan Mangal,2519956704,2023-08-19,2024-01-04,33FFAFH9674U2ZY,FFAFH9674U,,False,1085110,1777105,4,942882.0,0,49752,City Union Bank,971082,2,struck_off,False,0.07769366256656111,0.868927574162988,INMAA4,6204
Krishna-Golla,TN/MSME/Pb/181701,UDYAM-TN-34-23-0657194,Trading,Micro,Agricultural Produce,Krishnagiri,Krishnagiri Taluk,"30, Krishnan Street, Thrissur 583754",Mohammed Dave,7634864478,2025-06-11,2025-09-22,33YXPFX8494F6Z2,YXPFX8494F,49195606980,True,2048854,3400706,5,4875129.0,1715844,1043586,Punjab National Bank,977113,0,active,False,0.05037713049319709,2.3794418733594487,INMAA4,8542
Sharaf Sarin and Prasad,TN/MSME/WW/168754,UDYAM-TN-27-21-0511946,Service,Micro,General Products,Krishnagiri,Krishnagiri Taluk,"H.No. 115, Contractor Nagar, Alwar-889376",Dhruv Chada,6052729254,2022-04-24,2022-07-07,33BKOCN0837W1ZY,BKOCN0837W,,False,740911,984768,6,923568.0,0,120757,Union Bank of India,329742,3,active,False,0.050419431554757366,1.2465302850139894,INMAA4,6403
Wadhwa Group,TN/MSME/Jb/996534,UDYAM-TN-18-23-0264526,Chemical,Medium,Pigments,Sivaganga,Sivaganga Taluk,"15, Dhar Zila, Durg 222754",Oscar Varughese,+913866182228,2018-05-22,2018-09-03,33XPRPC6140M4ZN,XPRPC6140M,,False,193377721,435557475,137,464701025.0,0,65565620,Union Bank of India,850548,7,active,False,0.007812841236488321,2.403074266243938,INMAA4,7108
Desai Ltd,TN/MSME/oX/813704,UDYAM-TN-20-20-0606795,Handloom,Small,General Products,Vellore,Vellore Taluk,"35/796, Karnik Path, Dewas 446885",Bhavika Varughese,04126248022,2024-08-06,2024-10-21,33VQGCP6526Y4ZK,VQGCP6526Y,,False,19094901,19830391,18,46677098.0,0,4368377,Canara Bank,145622,1,active,False,0.14372592573088439,2.444479706912332,INMAA4,0901
Mittal Atwal and Gulati,TN/MSME/bD/124790,UDYAM-TN-10-23-0184693,Leather,Micro,Leather Footwear,Erode,Erode Taluk,"06/10, Vaidya Road, Karaikudi-731514",Dayita Varma,+914010664684,2024-06-21,2024-12-05,33UOBPR4353N6ZG,UOBPR4353N,,False,1364929,2867296,6,2851285.0,0,825852,HDFC Bank,519701,1,active,False,0.12122988282101338,2.088962136492081,INMAA4,3004
Dugar Mahajan and Singhal,TN/MSME/Yq/778007,UDYAM-TN-18-20-0541723,Engineering,Micro,Castings,Kancheepuram,Kancheepuram Taluk,"207, Chaudhari, Amravati 686650",Ranbir Deep,2862548521,2012-07-24,2012-12-27,33HLTPS6308F6ZN,HLTPS6308F,,False,1129681,2736193,5,1526026.0,0,39194,Axis Bank,853264,13,active,False,0.0732866770273181,1.350846831981772,INMAA4,2601
Rattan-Thakkar,TN/MSME/is/749951,UDYAM-TN-08-21-0330877,Handloom,Micro,General Products,Vellore,Vellore Taluk,"91, Khosla Road, Sonipat-935498",Prisha Virk,4402598065,2018-06-01,2018-08-17,33HKGPV5454X4ZW,HKGPV5454X,,False,172323,203226,5,218256.0,0,35086,Bank of Baroda,864598,7,active,False,0.027772476365649296,1.2665517661600598,INMAA4,8517
Keer-Anand,TN/MSME/Ig/354007,UDYAM-TN-29-22-0193320,Handicraft,Medium,General Products,Kancheepuram,Kancheepuram Taluk,"70/495, Wason Ganj, Bhiwani 680476",Jasmit Chaudry,8353379376,2016-02-22,2016-05-19,33FEAFR1002E6ZG,FEAFR1002E,,False,102108041,249985650,197,123637349.0,0,9364727,HDFC Bank,002366,10,dormant,False,0.017113071108738682,1.2108483111530854,INMAA4,6110
Nadkarni-Thakkar,TN/MSME/OD/617428,UDYAM-TN-04-20-0993621,Trading,Micro,General Merchandise,Sivaganga,Sivaganga Taluk,"99, Karan Road, Bihar Sharif 872910",Farhan Mohanty,2150591833,2012-01-19,2012-04-08,33CGOFN6725O6ZT,CGOFN6725O,44044540415,True,2460720,3437550,10,7320834.0,1402774,178307,Axis Bank,622912,14,active,False,0.08279883683666385,2.9750780259436262,INMAA4,8471
Dani-Suresh,TN/MSME/PI/430285,UDYAM-TN-05-20-0173983,Chemical,Micro,Pharma Intermediates,Chennai,Ambattur,"092, Kapoor, Nagercoil 286396",Faqid Nayak,+917006414057,2015-12-29,2016-02-07,33SSLFV2275Z2Z1,SSLFV2275Z,60395842082,True,1070881,1776302,4,2269289.0,845363,319083,Canara Bank,215312,10,active,False,0.06037627787442084,2.119086060916199,INNSA1,2709
Sathe-Varty,TN/MSME/cg/234978,UDYAM-TN-29-22-0190306,Chemical,Micro,Dyes,Tiruppur,Udumalaipettai,"02/38, Kumer Zila, Srikakulam-007810",Abdul Chanda,01585637350,2015-08-11,2015-11-13,33PAFFV8599V4ZC,PAFFV8599V,,False,1912059,4771386,3,3205092.0,0,419115,Federal Bank,009315,10,active,False,0.14535828540985554,1.6762516219426284,INITP6,5201
Ben and Sons,TN/MSME/wD/811023,UDYAM-TN-30-23-0056838,Textile,Small,Readymade Garments,Ranipet,Ranipet Taluk,"95/663, Rout Ganj, Sri Ganganagar 821759",Kamya Pandit,+910599785290,2015-01-08,2015-06-27,33KMRFM8543K1ZZ,KMRFM8543K,,False,13292773,17033011,11,28501712.0,0,3093399,ICICI Bank,518190,11,active,False,0.09381131132175134,2.1441509608266087,INMAA4,2601
Randhawa-Saha,TN/MSME/Qi/237341,UDYAM-TN-19-22-0435674,Agro-based Industry,Medium,General Products,Coimbatore,Coimbatore South,"37/943, Dhar Circle, Bhilai-419237",Upma Bala,+915732191370,2016-05-09,2016-07-29,33DZPAH7304H1Z3,DZPAH7304H,,False,167605892,377462869,216,432483193.0,0,127181798,HDFC Bank,040075,9,active,False,0.08268976153207044,2.580357932762889,INICJ4,0901
Sarna Mohan and Goel,TN/MSME/dk/997533,UDYAM-TN-25-23-0978167,Trading,Small,Textiles,Erode,Erode Taluk,"14, Chadha Zila, Mirzapur 167196",Theodore Char,00927176778,2018-11-03,2019-02-07,33YNVFJ7856E6Z8,YNVFJ7856E,62724165061,True,30346314,74990656,41,41356255.0,10983196,2962830,ICICI Bank,968187,7,active,False,0.12840194639810673,1.3628098292267061,INMAA4,0901
Ahluwalia Sahni and Pal,TN/MSME/XZ/420665,UDYAM-TN-27-21-0078464,Handicraft,Small,General Products,Coimbatore,Pollachi,"97/78, Subramanian Circle, Bathinda-028478",Lajita Borra,+919352746862,2011-07-07,2011-07-16,33ZUQAE4055D6ZG,ZUQAE4055D,,False,28083989,47861742,40,15119548.0,0,4396176,Canara Bank,475631,14,active,False,0.1039056897880323,0.5383689617596703,INICJ4,6403
Manda LLC,TN/MSME/xF/324688,UDYAM-TN-19-22-0393050,Handloom,Medium,General Products,Madurai,Melur,"60/37, Rana Chowk, Karnal 053693",Urmi Pillai,+910365458021,2023-10-26,2024-03-30,33WABAU6220D1Z2,WABAU6220D,80563442255,True,218255122,298201132,127,602069883.0,68513921,74425184,State Bank of India,199745,2,active,False,0.027008532922696664,2.7585601542033915,INMAA4,8471
Dugal Loke and Kala,TN/MSME/la/278444,UDYAM-TN-17-23-0886366,Leather,Micro,Leather Footwear,Madurai,Thirumangalam,"H.No. 96, Thaker, Jhansi-187666",Advik Desai,03205445743,2016-06-27,2016-11-13,33LGGCA8425C6ZW,LGGCA8425C,,False,700279,1017633,5,1468727.0,0,440342,Union Bank of India,218043,9,dormant,False,0.01599799011335414,2.097345486584633,INMAA4,0901
Sha LLC,TN/MSME/Dh/478675,UDYAM-TN-15-21-0651052,Leather,Medium,Leather Garments,Dharmapuri,Dharmapuri Taluk,"238, Halder Street, Jalandhar-996783",Irya Menon,08745252011,2025-08-19,2025-12-21,33ZRHPS8799X6ZS,ZRHPS8799X,,False,129250403,177840825,109,260783690.0,0,59112672,Indian Overseas Bank,258136,0,active,False,0.1021282641273034,2.0176624903831053,INMAA4,8471
Tata-Varty,TN/MSME/Zh/304060,UDYAM-TN-08-23-0078958,Agro-based Industry,Micro,General Products,Tiruchirappalli,Tiruchirappalli Taluk,"57/37, Mishra, Arrah-887041",Vedant Ray,+910836587799,2011-10-12,2012-04-07,33CHTCF2783Q4ZK,CHTCF2783Q,33064785186,True,1630338,3733817,8,4758076.0,897099,1033763,Indian Overseas Bank,057495,14,struck_off,False,0.14509046209500484,2.918459853110214,INMAA4,2601
Gade-Balakrishnan,TN/MSME/YX/931837,UDYAM-TN-30-22-0680777,Trading,Micro,Agricultural Produce,Krishnagiri,Krishnagiri Taluk,"16/38, Rajagopal Zila, Jaipur-564929",Ira Deo,2338714734,2024-05-23,2024-10-14,33LRRPS3636P1Z9,LRRPS3636P,76892957497,True,2350547,2843375,6,6553653.0,1090594,1860440,Indian Bank,152507,1,active,False,0.07389369284673088,2.788139526671877,INMAA4,6110
Tailor-Pall,TN/MSME/Uc/676022,UDYAM-TN-24-22-0063492,Engineering,Micro,Forgings,Vellore,Vellore Taluk,"85/91, Deshpande Nagar, Rampur-903970",Vasudha Sabharwal,9713066702,2023-11-09,2024-01-20,33PSXAU0449B4ZN,PSXAU0449B,,False,2365731,3778567,4,6242278.0,0,355451,Indian Bank,624859,2,active,False,0.12720497826955215,2.6386254396632585,INMAA4,5201
Dugal Ltd,TN/MSME/dp/823899,UDYAM-TN-08-20-0138206,Handloom,Micro,General Products,Madurai,Madurai South,"74, D’Alia Circle, Muzaffarpur 244673",Ekanta Lall,+910501197836,2017-04-09,2017-08-31,33ZUFCY5582Y2ZA,ZUFCY5582Y,12437010308,True,1498838,3274926,3,4449777.0,1166129,317622,Canara Bank,097595,9,active,False,0.026136930210926577,2.968817844223325,INMAA4,6204
Devi-Mohan,TN/MSME/bM/215761,UDYAM-TN-26-23-0719426,Food Processing,Small,Rice Mill,Salem,Salem Taluk,"32, Koshy Zila, Raipur-235541",Tanay Behl,7825505288,2024-11-14,2024-12-15,33UNCAQ2679V4Z3,UNCAQ2679V,,False,34460325,40040924,12,22470320.0,0,4802365,HDFC Bank,463762,1,active,False,0.13489001476853021,0.6520634962090462,INMAA4,7108
Vig Mallick and Agrawal,TN/MSME/xj/170227,UDYAM-TN-26-23-0765055,Trading,Micro,Electronics,Perambalur,Perambalur Taluk,"057, Shah Street, Bikaner-688380",Deepa Butala,+913034255319,2019-03-24,2019-05-09,33JPHFQ6078U2Z1,JPHFQ6078U,25576243691,True,2399973,3936306,8,6528472.0,1463318,1302641,HDFC Bank,829780,7,active,False,0.022895838715308564,2.7202272692234453,INMAA4,8542
Kota-Comar,TN/MSME/Mk/387000,UDYAM-TN-33-21-0162247,Trading,Micro,General Merchandise,Kancheepuram,Kancheepuram Taluk,"36, Date Zila, Hajipur 946827",Abhiram Morar,+913940938054,2025-09-23,2025-10-16,33VOPFR5648Y6ZD,VOPFR5648Y,89004762204,True,505020,1146856,5,1010557.0,207663,106143,Axis Bank,154891,0,active,False,0.017232797029546224,2.001023721832799,INMAA4,2709
Mani Sankar and Nigam,TN/MSME/lq/949228,UDYAM-TN-11-22-0326776,Engineering,Small,Machine Parts,Dharmapuri,Dharmapuri Taluk,"99/385, Gandhi Marg, Rohtak 023201",Forum Merchant,5158498295,2013-01-09,2013-04-11,33AHTFK3116C2ZB,AHTFK3116C,63142425342,True,46646306,108453280,44,48411038.0,10938461,2259535,Indian Overseas Bank,097383,13,active,False,0.007464373864943574,1.0378321918996116,INMAA4,6110
Solanki Inc,TN/MSME/lK/113610,UDYAM-TN-20-21-0804625,Handloom,Micro,General Products,Thoothukudi,Thoothukudi Taluk,"43/38, Pall Chowk, Morbi-762462",Jacob Dhingra,8974944876,2012-03-13,2012-07-04,33HTCAN1655J1ZO,HTCAN1655J,,False,1954067,2356316,10,1244652.0,0,95409,Bank of Baroda,485723,14,active,False,0.0011594859853967909,0.6369546182398045,INTUT1,0803
Tiwari Purohit and Chadha,TN/MSME/Zg/358176,UDYAM-TN-30-22-0092411,Service,Micro,General Products,Virudhunagar,Virudhunagar Taluk,"987, Krishna Marg, Ajmer 483082",Yutika Mander,+915857175956,2019-12-24,2020-05-26,33BWBFA4034M6ZS,BWBFA4034M,81552776088,True,1065154,1453908,1,3105455.0,470668,548613,Axis Bank,508941,6,active,False,0.059365004528899944,2.9154986039577375,INMAA4,2709
Gala-Tripathi,TN/MSME/YR/052051,UDYAM-TN-29-22-0906229,Textile,Micro,Woven Fabric,Thanjavur,Thanjavur Taluk,"H.No. 50, Dubey Ganj, Nandyal 914803",Yug Bali,03294127494,2024-12-30,2025-05-25,33XJSCU8211T2ZE,XJSCU8211T,61793532644,True,578262,959709,8,959847.0,258314,135027,Axis Bank,668137,1,active,False,0.11944945187271422,1.6598825445905143,INMAA4,8703
Mander and Sons,TN/MSME/YE/744397,UDYAM-TN-31-21-0064880,Food Processing,Micro,Rice Mill,Coimbatore,Pollachi,"24/68, Palan Chowk, Kochi-928281",Frederick Ravi,+918071484947,2014-12-12,2015-03-20,33BVBPC6545Z1Z2,BVBPC6545Z,,False,1995464,3343967,10,4249527.0,0,1033867,Indian Overseas Bank,784910,11,active,False,0.1473578371640096,2.129593417871733,INICJ4,6110
Cherian-Ratti,TN/MSME/oE/009829,UDYAM-TN-10-22-0085462,Manufacturing,Small,Plastic Goods,Tiruppur,Tiruppur South,"33, Brahmbhatt Path, Gopalpur-977708",Ethan Chahal,1956902205,2023-09-29,2023-10-25,33JXKCY3576C4ZG,JXKCY3576C,,False,31989097,59951063,35,38718561.0,0,1642771,City Union Bank,952061,2,active,False,0.1451544761539117,1.2103674261264705,INITP6,0803
Bal Kala and Rattan,TN/MSME/rF/525931,UDYAM-TN-32-21-0237548,Leather,Micro,Finished Leather,Sivaganga,Sivaganga Taluk,"H.No. 40, Mammen Path, Visakhapatnam 649526",Hitesh Varma,1034611961,2019-02-26,2019-05-21,33VRVFX9906Q4ZB,VRVFX9906Q,,False,1679907,4199708,3,4834643.0,0,224731,Indian Overseas Bank,836448,7,active,False,0.11821802605071002,2.8779230040710586,INMAA4,3004
Anand PLC,TN/MSME/ol/597834,UDYAM-TN-29-21-0559952,Handloom,Small,General Products,Krishnagiri,Krishnagiri Taluk,"94/88, Raju Zila, Katihar-816085",Urvashi Madan,1283398947,2023-05-17,2023-10-25,33PEECW7814N4ZP,PEECW7814N,,False,43975389,59751680,50,53312236.0,0,15443434,City Union Bank,585288,2,active,False,0.13559615072061873,1.2123198273470646,INMAA4,8517
Goyal Group,TN/MSME/ek/971046,UDYAM-TN-28-20-0992387,Chemical,Small,Cleaning Agents,Ranipet,Ranipet Taluk,"06/50, Wali Chowk, Tinsukia-259837",Osha Chauhan,+916511065861,2018-05-25,2018-08-01,33ZVUAE8043D1ZS,ZVUAE8043D,46378568671,True,36249496,84350571,21,42846115.0,15921267,11960132,Canara Bank,347565,7,active,False,0.059468094820537165,1.1819782266765861,INMAA4,7108
Mukherjee Inc,TN/MSME/fW/797586,UDYAM-TN-14-21-0575463,Trading,Micro,Textiles,Vellore,Vellore Taluk,"45, Malhotra Path, Ghaziabad 849833",Baljiwan Bhatt,9186349400,2018-09-08,2018-09-12,33VQUPE0948Y6Z2,VQUPE0948Y,96478101036,True,1436661,1676267,10,737190.0,91240,63715,Punjab National Bank,094885,7,active,False,0.007162416992827691,0.513127313959243,INMAA4,0901
Chawla Ramakrishnan and Kamdar,TN/MSME/ou/254029,UDYAM-TN-33-20-0409421,Trading,Small,General Merchandise,Perambalur,Perambalur Taluk,"79/45, Bedi Nagar, Dharmavaram 496351",Eiravati Om,9174150509,2025-06-16,2025-08-15,33QOSPJ4624V1Z7,QOSPJ4624V,87021730386,True,36042971,70410166,34,24119895.0,6218539,7098770,ICICI Bank,012283,0,active,False,0.0024363346663421434,0.6691983022154305,INMAA4,2601
Agate Inc,TN/MSME/mj/500327,UDYAM-TN-03-22-0978711,Export Oriented Unit,Small,Garments,Madurai,Melur,"H.No. 479, Varughese Nagar, Bangalore-198231",Fiyaz Ray,00068022443,2017-04-24,2017-06-21,33BOVCF8694F2ZE,BOVCF8694F,60809646701,True,24814946,39637808,40,14701849.0,9858425,3596393,Bank of Baroda,710838,8,active,False,0.005493115730536252,0.5924594395651718,INMAA4,6403
Datta Bajaj and Deshmukh,TN/MSME/WL/449881,UDYAM-TN-28-20-0451525,Textile,Small,Cotton Yarn,Erode,Erode Taluk,"H.No. 41, Hayer Chowk, Dewas-041209",Samar Bala,+910035287601,2012-09-18,2012-11-02,33DJXFX4931W6ZX,DJXFX4931W,,False,24775088,47163838,44,28907615.0,0,7131577,Indian Bank,444270,13,active,False,0.0481817142321891,1.1668017082320756,INMAA4,6110
Minhas Sanghvi and Manne,TN/MSME/Jy/803233,UDYAM-TN-29-20-0132362,Agro-based Industry,Small,General Products,Thanjavur,Thanjavur Taluk,"H.No. 55, Sengupta Marg, Rajpur Sonarpur-541730",Nathan Vohra,08259490274,2014-07-14,2014-08-24,33RJBCL6467B1ZZ,RJBCL6467B,,False,31096165,34232214,21,89618323.0,0,20930772,Canara Bank,249591,11,active,False,0.05742816025331665,2.881973484511675,INMAA4,8703
Sant Raman and Kunda,TN/MSME/kh/390955,UDYAM-TN-29-21-0641600,Handloom,Medium,General Products,Coimbatore,Coimbatore South,"205, Balan Circle, Jalandhar 009191",Christopher Salvi,1703983502,2016-08-10,2016-08-16,33TONAM3290F6Z7,TONAM3290F,,False,149861581,214057084,194,119050412.0,0,32732157,Punjab National Bank,769131,9,active,False,0.01839561328559563,0.7944024826483046,INICJ4,7204
Roy-Kala,TN/MSME/HX/683038,UDYAM-TN-16-23-0027561,Service,Medium,General Products,Madurai,Thirumangalam,"53, Dara Circle, Baranagar-954777",Chaitaly Kadakia,06299970699,2013-01-30,2013-03-22,33RSOFJ8879U2ZX,RSOFJ8879U,,False,233053991,359216554,82,690499674.0,0,118547208,Canara Bank,099474,13,active,False,0.14745179364641786,2.9628313638276205,INMAA4,8471
Maharaj Buch and Malhotra,TN/MSME/uF/733201,UDYAM-TN-34-21-0318898,Trading,Micro,Textiles,Perambalur,Perambalur Taluk,"H.No. 752, Jani Chowk, Pondicherry 869064",Lopa Behl,+917249845799,2020-08-24,2020-10-26,33TVBAK6463Y2ZI,TVBAK6463Y,36973717354,True,2107666,3127757,7,3703505.0,1334978,788104,Indian Bank,765199,5,active,False,0.1411356082397302,1.7571593411859374,INMAA4,8542
Khanna Nori and Bobal,TN/MSME/Qb/715701,UDYAM-TN-37-22-0682760,Agro-based Industry,Small,General Products,Dindigul,Dindigul Taluk,"27/353, Sheth Chowk, Panihati 981634",Vasatika Pathak,+916247812530,2019-11-28,2019-12-17,33DHNFQ6551T4ZC,DHNFQ6551T,,False,39466341,51946094,12,27747092.0,0,4762543,Federal Bank,543679,6,active,False,0.004542884787214607,0.7030571189763956,INMAA4,8542
Chanda LLC,TN/MSME/zr/870510,UDYAM-TN-36-20-0334618,Handloom,Micro,General Products,Krishnagiri,Krishnagiri Taluk,"27/88, Roy Marg, Muzaffarpur 146477",Arjun Mallick,+917323813044,2025-03-07,2025-04-02,33LREFN4263W4ZW,LREFN4263W,,False,1803275,2457154,3,4330857.0,0,159187,ICICI Bank,755075,1,active,False,0.021131645251227526,2.4016619761267695,INMAA4,6204
Manda Edwin and Uppal,TN/MSME/NI/395495,UDYAM-TN-04-20-0295024,Leather,Micro,Leather Goods,Dindigul,Dindigul Taluk,"24/12, Vala Ganj, Malegaon-025720",Baghyawati Rana,7356918327,2025-02-05,2025-05-21,33YSEFF4543A1ZZ,YSEFF4543A,,False,769828,1341303,4,798974.0,0,211489,Indian Overseas Bank,253259,1,active,False,0.07058802800522936,1.037860405181417,INMAA4,3004
Comar Shere and Roy,TN/MSME/ZX/052000,UDYAM-TN-36-22-0791639,Engineering,Small,Precision Tools,Chennai,Egmore-Nungambakkam,"943, Batta, Aligarh 635888",Triya Murty,02893576880,2025-09-14,2026-01-25,33JKOAG3234R4ZH,JKOAG3234R,33634339637,True,27046921,51489072,17,40158166.0,13592301,4835690,Indian Overseas Bank,229435,0,active,False,0.005837094936933035,1.4847592448693143,INNSA1,0803
Varty and Sons,TN/MSME/qI/968436,UDYAM-TN-08-23-0612057,Food Processing,Micro,Pickles,Thanjavur,Thanjavur Taluk,"53/582, Palla Street, Sasaram-717522",Yutika Golla,7788980281,2024-09-03,2025-02-06,33IPECT7238R6ZT,IPECT7238R,,False,2262187,3306224,1,3214329.0,0,866679,Federal Bank,371207,1,dormant,False,0.09438907209036553,1.4208944707046764,INMAA4,8703
